California, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1978-1998
Missing: -99
Date,Value,Anomaly
197812,57.6,-0.6
197912,57.7,-0.5
198012,58.1,-0.1
198112,59.3,1.1
198212,56.3,-1.9
198312,57.6,-0.6
198412,58.2,0.0
198512,57.3,-0.9
198612,58.9,0.7
198712,58.3,0.1
198812,58.8,0.6
198912,58.1,-0.1
199012,58.0,-0.2
199112,58.1,-0.1
199212,59.3,1.1
199312,57.7,-0.5
199412,58.0,-0.2
199512,58.9,0.7
199612,59.6,1.4
199712,59.1,0.9
199812,56.7,-1.5
199912,58.0,-0.2
200012,58.8,0.6
200112,59.1,0.9
200212,58.8,0.6
200312,59.4,1.2
200412,58.9,0.7
200512,58.6,0.4
200612,58.6,0.4
200712,58.9,0.7
200812,58.9,0.7
200912,58.8,0.6
201012,57.7,-0.5
201112,57.4,-0.8
201212,59.5,1.3
201312,59.3,1.1
201412,61.4,3.2
201512,60.8,2.6
201612,60.1,1.9
201712,60.3,2.1
201812,60.1,1.9
201912,58.4,0.2
